設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 綜合高中,化工群,42,33,0,8,0,0,0,0,0,0,0,1,0,0,100.0,78.57,0.0,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,土木與建築群,53,37,0,15,0,0,0,0,0,0,0,0,0,0,98.11,69.81,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,商業群,356,144,16,169,0,0,0,0,0,0,0,3,0,0,93.26,40.45,4.49,47.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,2,0,0,1,0,1,1,0,2,0,0,0,0,0,8,0,0,0,1,4.49,0.56,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.56,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.28,0,1,0,0,0,0,4,0.0,0.28,0.0,0.0,0.0,0.0,1.12
國立, 綜合高中,外語群,113,38,3,61,4,0,0,0,0,0,0,1,5,0,99.12,33.63,2.65,53.98,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.88,4.42,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,設計群,38,3,0,30,2,0,0,0,0,0,0,0,0,0,92.11,7.89,0.0,78.95,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,2.63,0.0,0,0,1,0,0,0,0,0.0,0.0,2.63,0.0,0.0,0.0,0.0
國立, 綜合高中,農業群,51,30,0,17,0,0,0,0,0,0,0,0,0,0,92.16,58.82,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,1.96,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,食品群,94,39,0,54,0,0,0,0,0,0,0,0,0,0,98.94,41.49,0.0,57.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,家政群,4,0,0,3,0,0,0,0,0,0,0,0,0,0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,餐旅群,210,44,3,123,2,1,0,0,0,0,0,0,0,0,82.38,20.95,1.43,58.57,0.95,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,2,0,8,0,0,0,0,0,11,1,0,0,2,13.33,0.0,0.0,1.9,0.0,0.0,0.0,0.95,0.0,3.81,0.0,0.0,0.0,0.0,0.0,5.24,0.48,0.0,0.0,0.95,0,3,1,1,0,0,0,0.0,1.43,0.48,0.48,0.0,0.0,0.0
國立, 綜合高中,水產群,27,16,0,7,0,0,0,0,0,0,0,0,0,0,85.19,59.26,0.0,25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,11.11,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
