設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,綜合高中,電機與電子群,396,86,4,232,25,0,0,0,0,0,0,11,0,7,92.17,21.72,1.01,58.59,6.31,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,1.77,0,0,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,4.04,0.0,0.0,2.02,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,2,8,0,0,0,1,2,0.51,2.02,0.0,0.0,0.0,0.25,0.51
國立,綜合高中,化工群,71,23,5,38,0,0,0,0,0,0,0,2,0,0,95.77,32.39,7.04,53.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,1.41,0,0,0,1,0,0,0,0.0,0.0,0.0,1.41,0.0,0.0,0.0
國立,綜合高中,土木與建築群,215,68,14,110,9,1,0,0,0,0,0,2,0,0,94.88,31.63,6.51,51.16,4.19,0.47,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,2.79,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.47,0,1,2,1,0,0,1,0.0,0.47,0.93,0.47,0.0,0.0,0.47
國立,綜合高中,商業與管理群,1672,305,50,1075,39,3,0,1,0,0,0,10,3,0,88.88,18.24,2.99,64.29,2.33,0.18,0.0,0.06,0.0,0.0,0.0,0.6,0.18,0.0,1,1,9,1,0,9,12,2,13,1,0,0,1,4,47,0,1,5,8,6.88,0.06,0.06,0.54,0.06,0.0,0.54,0.72,0.12,0.78,0.06,0.0,0.0,0.06,0.24,2.81,0.0,0.06,0.3,0.48,2,30,10,7,0,1,7,0.12,1.79,0.6,0.42,0.0,0.06,0.42
國立,綜合高中,外語群,294,42,6,218,2,1,0,0,0,0,0,3,0,0,92.52,14.29,2.04,74.15,0.68,0.34,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,2,1,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.36,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.68,0.34,0,0,1,1,0,0,1,0.0,0.0,0.34,0.34,0.0,0.0,0.34
國立,綜合高中,設計群,390,41,1,287,21,0,0,0,0,0,0,2,0,0,90.26,10.51,0.26,73.59,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,1,4,0,3.59,0.26,0.0,0.51,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.26,1.03,0.0,2,4,0,2,0,0,6,0.51,1.03,0.0,0.51,0.0,0.0,1.54
國立,綜合高中,農業群,95,39,0,38,4,0,0,0,0,0,0,0,0,0,85.26,41.05,0.0,40.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3,10.53,2.11,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1.05,0.0,3.16,0.0,0.0,0.0,3.16,0,3,0,1,0,0,0,0.0,3.16,0.0,1.05,0.0,0.0,0.0
國立,綜合高中,食品群,279,62,22,139,16,6,0,1,0,0,0,4,0,0,89.61,22.22,7.89,49.82,5.73,2.15,0.0,0.36,0.0,0.0,0.0,1.43,0.0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,1,2,6,0,0,2,7,8.6,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.36,0.72,2.15,0.0,0.0,0.72,2.51,0,0,4,0,0,0,0,0.0,0.0,1.43,0.0,0.0,0.0,0.0
國立,綜合高中,家政群,108,5,4,80,3,0,0,0,0,0,0,0,0,0,85.19,4.63,3.7,74.07,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11,12.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.93,10.19,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
國立,綜合高中,餐旅群,566,79,6,355,6,1,0,3,1,0,0,7,0,0,80.92,13.96,1.06,62.72,1.06,0.18,0.0,0.53,0.18,0.0,0.0,1.24,0.0,0.0,1,1,0,2,0,1,6,0,29,0,0,0,1,1,11,0,0,6,15,13.07,0.18,0.18,0.0,0.35,0.0,0.18,1.06,0.0,5.12,0.0,0.0,0.0,0.18,0.18,1.94,0.0,0.0,1.06,2.65,0,20,4,2,1,0,4,0.0,3.53,0.71,0.35,0.18,0.0,0.71
