設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,專業群科,食品群,1097,288,73,460,18,0,3,0,0,0,0,14,0,1,78.12,26.25,6.65,41.93,1.64,0.0,0.27,0.0,0.0,0.0,0.0,1.28,0.0,0.09,2,0,19,1,2,2,17,2,66,0,0,0,12,2,33,0,0,3,6,15.22,0.18,0.0,1.73,0.09,0.18,0.18,1.55,0.18,6.02,0.0,0.0,0.0,1.09,0.18,3.01,0.0,0.0,0.27,0.55,6,19,22,11,2,1,8,0.55,1.73,2.01,1.0,0.18,0.09,0.73
國立,專業群科,家政群,1010,147,27,626,32,7,4,1,2,0,1,5,0,0,84.36,14.55,2.67,61.98,3.17,0.69,0.4,0.1,0.2,0.0,0.1,0.5,0.0,0.0,0,0,5,0,0,1,7,0,52,1,0,0,24,0,14,0,1,4,21,12.87,0.0,0.0,0.5,0.0,0.0,0.1,0.69,0.0,5.15,0.1,0.0,0.0,2.38,0.0,1.39,0.0,0.1,0.4,2.08,4,2,8,4,0,3,4,0.4,0.2,0.79,0.4,0.0,0.3,0.4
國立,專業群科,餐旅群,1139,286,44,563,34,7,0,1,1,0,1,3,0,0,82.53,25.11,3.86,49.43,2.99,0.61,0.0,0.09,0.09,0.0,0.09,0.26,0.0,0.0,2,0,2,0,0,1,9,0,67,0,0,0,5,2,55,0,1,4,9,13.78,0.18,0.0,0.18,0.0,0.0,0.09,0.79,0.0,5.88,0.0,0.0,0.0,0.44,0.18,4.83,0.0,0.09,0.35,0.79,2,17,8,6,1,0,0,0.18,1.49,0.7,0.53,0.09,0.0,0.0
國立,專業群科,水產群,211,110,6,21,1,1,1,0,0,0,0,3,0,0,67.77,52.13,2.84,9.95,0.47,0.47,0.47,0.0,0.0,0.0,0.0,1.42,0.0,0.0,3,0,3,0,0,3,3,0,8,0,0,0,12,0,3,0,0,1,8,20.85,1.42,0.0,1.42,0.0,0.0,1.42,1.42,0.0,3.79,0.0,0.0,0.0,5.69,0.0,1.42,0.0,0.0,0.47,3.79,1,10,5,0,0,0,2,0.47,4.74,2.37,0.0,0.0,0.0,0.95
國立,專業群科,海事群,252,91,18,29,0,0,0,0,0,0,0,11,0,0,59.13,36.11,7.14,11.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,8,0,7,1,0,2,4,2,4,1,0,0,7,2,21,0,0,2,0,24.21,3.17,0.0,2.78,0.4,0.0,0.79,1.59,0.79,1.59,0.4,0.0,0.0,2.78,0.79,8.33,0.0,0.0,0.79,0.0,1,14,7,1,1,0,4,0.4,5.56,2.78,0.4,0.4,0.0,1.59
國立,專業群科,藝術群,146,79,0,39,0,0,0,0,0,0,0,0,2,0,82.19,54.11,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,10,0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.37,0.0,0.0,0.0,0.0,6.85,0.0,0,3,0,0,0,0,10,0.0,2.05,0.0,0.0,0.0,0.0,6.85
國立,綜合高中,機械群,176,63,5,66,4,3,0,0,0,0,0,3,0,0,81.82,35.8,2.84,37.5,2.27,1.7,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,13.07,0.0,0.57,7.39,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,1.7,0,5,0,3,0,0,0,0.0,2.84,0.0,1.7,0.0,0.0,0.0
國立,綜合高中,動力機械群,7,0,0,2,0,0,0,0,0,0,0,0,0,0,28.57,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0,0,2,0,0,0,0,0.0,0.0,28.57,0.0,0.0,0.0,0.0
國立,綜合高中,電機與電子群,266,97,5,122,12,0,0,0,0,0,1,2,0,0,89.85,36.47,1.88,45.86,4.51,0.0,0.0,0.0,0.0,0.0,0.38,0.75,0.0,0.0,2,0,4,0,0,1,0,0,1,0,0,0,0,0,2,0,0,4,3,6.39,0.75,0.0,1.5,0.0,0.0,0.38,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,1.13,1,4,1,0,0,0,1,0.38,1.5,0.38,0.0,0.0,0.0,0.38
國立,綜合高中,化工群,52,24,0,15,3,0,0,0,0,0,0,0,0,0,80.77,46.15,0.0,28.85,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,9.62,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,3.85,2,2,0,1,0,0,0,3.85,3.85,0.0,1.92,0.0,0.0,0.0
國立,綜合高中,土木與建築群,123,54,9,52,3,1,0,0,0,0,0,0,0,0,96.75,43.9,7.32,42.28,2.44,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.44,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.81,0.0
國立,綜合高中,商業與管理群,724,169,13,425,15,0,0,0,0,0,0,11,1,0,87.57,23.34,1.8,58.7,2.07,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.14,0.0,1,0,2,0,0,0,7,0,14,0,2,0,1,2,14,0,0,6,2,7.04,0.14,0.0,0.28,0.0,0.0,0.0,0.97,0.0,1.93,0.0,0.28,0.0,0.14,0.28,1.93,0.0,0.0,0.83,0.28,3,8,7,12,1,0,2,0.41,1.1,0.97,1.66,0.14,0.0,0.28
國立,綜合高中,外語群,190,47,0,125,1,0,0,0,0,0,0,2,5,0,94.74,24.74,0.0,65.79,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.05,2.63,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,4.21,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.53
國立,綜合高中,設計群,191,15,5,140,11,0,0,0,0,0,0,1,0,0,90.05,7.85,2.62,73.3,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,1,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,7.33,0.52,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,1.05,0,1,1,1,0,0,1,0.0,0.52,0.52,0.52,0.0,0.0,0.52
國立,綜合高中,農業群,59,29,0,20,0,1,0,0,0,0,1,0,0,0,86.44,49.15,0.0,33.9,0.0,1.69,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8.47,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0,0,0,3,0,0,0,0.0,0.0,0.0,5.08,0.0,0.0,0.0
國立,綜合高中,食品群,163,38,19,77,10,0,0,0,0,0,0,1,0,0,88.96,23.31,11.66,47.24,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,3,0,0,1,3,6.75,0.0,0.0,0.61,0.0,0.0,0.0,0.61,0.0,1.23,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.61,1.84,0,2,1,0,0,0,4,0.0,1.23,0.61,0.0,0.0,0.0,2.45
國立,綜合高中,家政群,31,5,0,18,0,0,0,0,0,0,0,0,0,0,74.19,16.13,0.0,58.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,0,1,1,0,0,0,0,0.0,3.23,3.23,0.0,0.0,0.0,0.0
國立,綜合高中,餐旅群,403,55,14,231,5,0,0,0,0,0,0,0,1,0,75.93,13.65,3.47,57.32,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0,0,1,0,0,2,3,1,36,0,0,0,2,0,15,0,0,5,3,16.87,0.0,0.0,0.25,0.0,0.0,0.5,0.74,0.25,8.93,0.0,0.0,0.0,0.5,0.0,3.72,0.0,0.0,1.24,0.74,0,7,5,1,1,2,10,0.0,1.74,1.24,0.25,0.25,0.5,2.48
國立,綜合高中,水產群,32,17,0,8,0,0,0,0,0,0,0,0,0,0,78.13,53.13,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,12.5,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,3.13,0,2,0,0,0,0,1,0.0,6.25,0.0,0.0,0.0,0.0,3.13
國立,綜合高中,海事群,17,4,0,8,0,0,0,0,0,0,0,0,0,0,70.59,23.53,0.0,47.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,11.76,0,2,0,0,0,0,0,0.0,11.76,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,藝術群,9,0,0,4,0,0,0,0,0,0,0,1,0,0,55.56,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.11
國立,實用技能學程,機械群,390,30,35,146,37,3,5,1,0,0,2,4,0,0,67.44,7.69,8.97,37.44,9.49,0.77,1.28,0.26,0.0,0.0,0.51,1.03,0.0,0.0,4,0,39,0,0,3,2,1,16,0,0,0,0,0,8,0,0,4,4,20.77,1.03,0.0,10.0,0.0,0.0,0.77,0.51,0.26,4.1,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,1.03,1.03,0,11,7,0,3,0,3,0.0,2.82,1.79,0.0,0.77,0.0,0.77
國立,實用技能學程,動力機械群,88,1,5,9,8,0,0,0,0,0,0,1,0,0,27.27,1.14,5.68,10.23,9.09,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,4,0,7,1,0,1,5,3,4,0,1,0,11,2,6,0,0,0,1,52.27,4.55,0.0,7.95,1.14,0.0,1.14,5.68,3.41,4.55,0.0,1.14,0.0,12.5,2.27,6.82,0.0,0.0,0.0,1.14,1,4,6,2,0,0,2,1.14,4.55,6.82,2.27,0.0,0.0,2.27
國立,實用技能學程,電機與電子群,375,17,36,120,52,3,0,0,0,0,0,3,0,0,61.6,4.53,9.6,32.0,13.87,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,13,0,36,6,0,3,5,2,8,0,0,0,3,2,7,0,0,5,8,26.13,3.47,0.0,9.6,1.6,0.0,0.8,1.33,0.53,2.13,0.0,0.0,0.0,0.8,0.53,1.87,0.0,0.0,1.33,2.13,0,15,10,4,1,0,4,0.0,4.0,2.67,1.07,0.27,0.0,1.07
國立,實用技能學程,土木與建築群,123,11,0,53,14,0,0,0,0,0,0,0,0,0,63.41,8.94,0.0,43.09,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,1,0,7,4,0,5,0,0,0,0,0,3,0,0,0,2,21.95,0.0,0.0,4.07,0.81,0.0,5.69,3.25,0.0,4.07,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,1.63,0,7,3,1,0,0,0,0.0,5.69,2.44,0.81,0.0,0.0,0.0
國立,實用技能學程,商業與管理群,425,14,17,190,19,1,7,0,1,0,0,2,0,0,59.06,3.29,4.0,44.71,4.47,0.24,1.65,0.0,0.24,0.0,0.0,0.47,0.0,0.0,2,0,9,0,0,8,32,4,26,4,0,0,4,9,4,1,3,5,23,31.53,0.47,0.0,2.12,0.0,0.0,1.88,7.53,0.94,6.12,0.94,0.0,0.0,0.94,2.12,0.94,0.24,0.71,1.18,5.41,1,12,10,3,1,0,1,0.24,2.82,2.35,0.71,0.24,0.0,0.24
國立,實用技能學程,設計群,132,2,12,68,10,0,0,0,0,0,0,0,0,0,69.7,1.52,9.09,51.52,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,7,1,0,0,1,0,1,0,0,8,5,18.94,0.0,0.0,0.76,0.0,0.0,0.0,0.76,0.0,5.3,0.76,0.0,0.0,0.76,0.0,0.76,0.0,0.0,6.06,3.79,1,1,5,0,0,0,0,0.76,0.76,3.79,0.0,0.0,0.0,0.0
國立,實用技能學程,農業群,143,17,15,47,2,9,1,1,0,0,0,0,0,0,64.34,11.89,10.49,32.87,1.4,6.29,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1,0,1,4,3,2,8,0,0,0,1,0,10,0,0,2,2,30.77,6.99,0.0,0.7,0.0,0.7,2.8,2.1,1.4,5.59,0.0,0.0,0.0,0.7,0.0,6.99,0.0,0.0,1.4,1.4,1,1,3,1,0,0,0,0.7,0.7,2.1,0.7,0.0,0.0,0.0
國立,實用技能學程,食品群,193,2,8,71,25,0,0,0,0,0,0,1,0,0,55.44,1.04,4.15,36.79,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,2,0,10,2,0,0,3,0,37,0,0,0,1,1,9,0,0,8,3,39.38,1.04,0.0,5.18,1.04,0.0,0.0,1.55,0.0,19.17,0.0,0.0,0.0,0.52,0.52,4.66,0.0,0.0,4.15,1.55,0,3,5,1,1,0,0,0.0,1.55,2.59,0.52,0.52,0.0,0.0
國立,實用技能學程,餐旅群,370,16,4,167,35,5,0,0,0,0,0,3,1,0,62.43,4.32,1.08,45.14,9.46,1.35,0.0,0.0,0.0,0.0,0.0,0.81,0.27,0.0,1,0,4,0,0,2,4,0,74,0,0,0,0,3,11,1,1,6,6,30.54,0.27,0.0,1.08,0.0,0.0,0.54,1.08,0.0,20.0,0.0,0.0,0.0,0.0,0.81,2.97,0.27,0.27,1.62,1.62,0,5,12,1,2,0,1,0.0,1.35,3.24,0.27,0.54,0.0,0.27
國立,實用技能學程,水產群,40,15,6,5,5,0,0,0,0,0,0,0,0,0,77.5,37.5,15.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,12.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,0,3,0,0,0,0,0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
國立,實用技能學程,海事群,56,9,5,6,7,0,0,0,0,0,0,1,0,0,50.0,16.07,8.93,10.71,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0,0,0,0,0,0,2,1,1,0,0,0,3,0,4,0,0,1,0,21.43,0.0,0.0,0.0,0.0,0.0,0.0,3.57,1.79,1.79,0.0,0.0,0.0,5.36,0.0,7.14,0.0,0.0,1.79,0.0,4,6,1,0,0,0,1,7.14,10.71,1.79,0.0,0.0,0.0,1.79
國立,實用技能學程,美容造型群,162,11,1,36,2,0,0,1,0,0,0,3,0,21,46.3,6.79,0.62,22.22,1.23,0.0,0.0,0.62,0.0,0.0,0.0,1.85,0.0,12.96,1,0,4,0,0,0,0,0,14,0,0,0,0,6,1,0,1,28,13,41.98,0.62,0.0,2.47,0.0,0.0,0.0,0.0,0.0,8.64,0.0,0.0,0.0,0.0,3.7,0.62,0.0,0.62,17.28,8.02,0,0,9,0,2,0,1,0.0,0.0,5.56,0.0,1.23,0.0,0.62
國立,進修部,普通科,108,7,4,24,19,0,0,0,0,0,1,0,0,0,50.93,6.48,3.7,22.22,17.59,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,0,6,0,2,2,6,2,6,0,0,0,0,6,0,0,0,5,1,34.26,0.93,0.0,5.56,0.0,1.85,1.85,5.56,1.85,5.56,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,4.63,0.93,1,4,3,3,0,0,3,0.93,3.7,2.78,2.78,0.0,0.0,2.78
國立,進修部,機械群,422,8,11,71,58,3,8,0,2,0,0,0,0,11,40.76,1.9,2.61,16.82,13.74,0.71,1.9,0.0,0.47,0.0,0.0,0.0,0.0,2.61,2,0,128,0,3,9,7,4,16,1,0,0,2,9,2,0,0,6,14,48.1,0.47,0.0,30.33,0.0,0.71,2.13,1.66,0.95,3.79,0.24,0.0,0.0,0.47,2.13,0.47,0.0,0.0,1.42,3.32,5,34,2,1,1,0,1,1.18,8.06,0.47,0.24,0.24,0.0,0.24
國立,進修部,動力機械群,146,1,3,26,13,0,0,1,1,0,1,2,0,1,33.56,0.68,2.05,17.81,8.9,0.0,0.0,0.68,0.68,0.0,0.68,1.37,0.0,0.68,0,0,12,0,0,2,7,0,5,0,0,0,22,3,0,0,1,2,8,42.47,0.0,0.0,8.22,0.0,0.0,1.37,4.79,0.0,3.42,0.0,0.0,0.0,15.07,2.05,0.0,0.0,0.68,1.37,5.48,0,25,6,0,0,0,1,0.0,17.12,4.11,0.0,0.0,0.0,0.68
國立,進修部,電機與電子群,385,14,15,45,56,0,3,1,6,0,0,3,0,1,37.4,3.64,3.9,11.69,14.55,0.0,0.78,0.26,1.56,0.0,0.0,0.78,0.0,0.26,4,2,54,11,0,16,6,5,16,1,1,1,7,4,2,1,3,13,29,45.71,1.04,0.52,14.03,2.86,0.0,4.16,1.56,1.3,4.16,0.26,0.26,0.26,1.82,1.04,0.52,0.26,0.78,3.38,7.53,0,44,6,4,3,0,3,0.0,11.43,1.56,1.04,0.78,0.0,0.78
