,sum
152,98.98107714720001
153,96.75675675650001
154,99.2907801422
155,98.12030075150001
156,97.29166666660001
157,100.00000000010002
158,96.66666666680001
159,99.9999999999
160,100.00000000000001
161,98.06763285000001
162,99.99999999979998
163,95.9239130435
164,99.99999999990003
165,98.90109890100001
166,96.134538153
167,99.9999999999
168,94.9238578681
169,91.22807017529999
170,97.6027397257
171,99.2727272727
172,98.57142857180001
173,99.75285536039999
174,98.83785279479999
175,99.35064935080001
176,99.70257766019996
177,99.5689655173
178,98.85321100919998
179,99.66317365259997
180,99.38650306749999
181,99.59150326780001
182,100.0
183,100.0
184,100.0
185,99.99999999999999
186,100.00000000009999
187,100.0000000002
188,99.72157772640004
189,99.9999999999
190,100.00000000010002
191,99.99999999989998
192,99.99999999990001
193,99.61977186290001
194,98.11320754699996
195,99.99999999980002
196,100.0
197,99.99999999999999
198,98.98989898990003
199,96.55172413780001
200,98.79518072270001
201,98.30508474569999
202,100.0
203,92.85714285719999
204,100.00000000000001
205,99.99999999990001
206,100.0000000001
207,94.10187667519999
208,99.67320261430002
209,83.11688311680001
210,91.98717948739997
211,100.0
212,100.0
213,95.16728624560002
214,93.5185185185
215,100.00000000009999
216,99.74689773969997
217,99.0893568584
218,99.0880729543
219,99.3029091922
220,99.99999999979997
221,99.4191430254
222,99.6334169401
223,99.46678854320005
224,100.0
225,99.42693409709993
226,98.87679196039998
227,100.0
228,99.24302788930004
229,99.99999999959999
230,99.84924623110004
231,100.00000000010002
232,100.00000000019998
233,99.62441314540006
234,100.0000000001
235,99.86194201570002
236,99.92486852019998
237,99.86072423399997
238,99.54407294830006
239,99.74391805389999
240,100.0000000001
241,99.65635738869999
242,98.1132075473
243,98.94829097280001
244,100.00000000019998
245,99.4704324799
246,98.2142857143
247,99.65034965059999
248,98.54919546300003
249,99.3150684932
250,100.0000000001
251,99.99999999970001
252,98.02631578930003
253,97.6385104449
254,98.78005023320001
255,98.62385321139999
256,94.93006993030001
257,97.97546012289999
258,98.00643086809998
259,99.99999999979998
260,99.68008922282229
261,98.7135308982311
262,99.29632525410479
263,99.09821603607135
264,99.42052980132439
265,99.67479674796743
266,99.4788952579468
267,99.89733059548254
268,99.4602929838087
269,99.20499716070411
270,99.00839054157127
271,99.51048951048955
272,99.62013295346628
273,98.34710743801647
274,98.95833333333344
275,100.0000000000001
276,97.95686719636781
277,99.71169686985175
278,98.10606060606064
279,96.774193548387
280,98.85386819484238
281,100.00000000000001
282,100.00000000000004
283,99.50698438783891
284,99.67105263157897
285,100.00000000000006
286,99.99999999999999
287,100.00000000000009
288,97.82608695652166
289,99.99999999999987
290,97.87234042553186
291,100.0
292,90.0
293,100.00000000000003
294,98.46449136276404
295,97.57575757575756
296,98.0
297,99.99999999999997
298,99.13194444444451
299,95.625
300,98.87640449438203
301,95.55555555555549
302,98.49785407725321
303,79.99999999999999
304,91.30434782608698
305,97.1264367816092
306,97.94520547945214
307,97.99331103678924
308,96.8354430379746
309,97.79179810725552
310,100.00000000000011
311,96.20253164556958
312,98.46350832266324
313,99.99999999999997
314,98.25581395348846
315,100.0
316,99.99999999999991
317,91.02040816326534
318,98.78787878787875
319,99.55298383291527
320,99.49748743718598
321,98.10996563573896
322,99.1593695271453
323,98.29787234042558
324,98.07280513918624
325,98.47966552641584
326,98.00399201596808
327,99.58402662229625
328,99.99999999999996
329,100.0
330,99.99999999999994
331,99.99999999999996
332,99.99999999999997
333,99.22779922779897
334,99.30200093066549
335,100.00000000000003
336,99.44751381215468
337,98.91304347826087
338,98.30508474576274
339,100.00000000000003
340,99.99999999999996
341,100.00000000000006
342,100.00000000000001
343,100.0
344,100.00000000000004
345,99.9999999999999
346,94.73684210526312
347,96.82539682539677
348,93.33333333333327
349,87.93103448275863
350,96.0
351,100.00000000000011
352,93.455497382199
353,92.97752808988767
354,94.95798319327727
355,92.40506329113929
356,99.99999999999991
357,100.00000000000003
358,87.76978417266182
359,88.0
360,92.59259259259264
361,99.99999999999994
362,99.90529133209802
363,99.2659514398644
364,99.23202234116829
365,98.91070010212184
366,97.18309859154928
367,99.60744728577843
368,99.64617425917734
369,98.87211809586995
370,99.0
371,99.60710625213531
372,99.03939036170435
373,100.0
374,99.87500000000003
