設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
私立,實用技能學程,機械群,113,3,6,14,14,0,0,0,0,0,0,0,0,0,32.74,2.65,5.31,12.39,12.39,0,0,0,0,0,0,0,0,0
私立,實用技能學程,動力機械群,1184,7,14,224,143,0,0,1,5,0,0,22,0,2,35.3,0.59,1.18,18.92,12.08,0,0,0.08,0.42,0,0,1.86,0,0.17
私立,實用技能學程,電機與電子群,601,11,5,194,89,1,1,0,4,0,0,8,0,0,52.08,1.83,0.83,32.28,14.81,0.17,0.17,0,0.67,0,0,1.33,0,0
私立,實用技能學程,商業與管理群,611,8,11,295,65,1,0,2,12,0,0,2,1,0,64.98,1.31,1.8,48.28,10.64,0.16,0,0.33,1.96,0,0,0.33,0.16,0
私立,實用技能學程,農業群,31,1,0,13,0,0,0,0,0,0,0,0,0,0,45.16,3.23,0,41.94,0,0,0,0,0,0,0,0,0,0
私立,實用技能學程,食品群,223,6,0,61,54,0,0,0,0,0,0,0,0,0,54.26,2.69,0,27.35,24.22,0,0,0,0,0,0,0,0,0
私立,實用技能學程,餐旅群,3080,49,23,1007,273,3,7,9,38,1,0,16,0,6,46.49,1.59,0.75,32.69,8.86,0.1,0.23,0.29,1.23,0.03,0,0.52,0,0.19
私立,實用技能學程,藝術群,46,0,0,30,0,2,0,0,0,0,0,0,0,0,69.57,0,0,65.22,0,4.35,0,0,0,0,0,0,0,0
私立,實用技能學程,美容造型群,969,4,4,229,58,19,1,7,12,0,0,1,1,0,34.67,0.41,0.41,23.63,5.99,1.96,0.1,0.72,1.24,0,0,0.1,0.1,0
私立,進修部,普通科,274,30,11,45,13,0,0,0,2,0,1,5,4,0,40.51,10.95,4.01,16.42,4.74,0,0,0,0.73,0,0.36,1.82,1.46,0
私立,進修部,機械群,87,0,3,1,13,0,0,0,0,0,0,0,0,0,19.54,0,3.45,1.15,14.94,0,0,0,0,0,0,0,0,0
私立,進修部,動力機械群,648,11,3,13,49,0,2,7,9,0,0,0,0,0,14.51,1.7,0.46,2.01,7.56,0,0.31,1.08,1.39,0,0,0,0,0
私立,進修部,電機與電子群,330,0,0,10,70,0,4,0,1,0,0,1,0,0,26.06,0,0,3.03,21.21,0,1.21,0,0.3,0,0,0.3,0,0
私立,進修部,商業與管理群,1290,10,19,115,123,1,8,2,53,0,0,3,0,0,25.89,0.78,1.47,8.91,9.53,0.08,0.62,0.16,4.11,0,0,0.23,0,0
私立,進修部,外語群,163,0,4,9,31,0,3,0,2,0,0,0,0,0,30.06,0,2.45,5.52,19.02,0,1.84,0,1.23,0,0,0,0,0
私立,進修部,設計群,369,0,0,32,75,3,0,2,21,0,0,2,0,0,36.59,0,0,8.67,20.33,0.81,0,0.54,5.69,0,0,0.54,0,0
私立,進修部,家政群,1114,0,2,72,215,0,1,2,43,0,0,0,0,0,30.07,0,0.18,6.46,19.3,0,0.09,0.18,3.86,0,0,0,0,0
私立,進修部,餐旅群,3202,11,12,124,413,6,5,39,208,0,1,9,0,0,25.86,0.34,0.37,3.87,12.9,0.19,0.16,1.22,6.5,0,0.03,0.28,0,0
私立,進修部,藝術群,103,0,1,9,23,0,0,0,0,0,0,0,0,0,32.04,0,0.97,8.74,22.33,0,0,0,0,0,0,0,0,0
