設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,實用技能學程,機械群,390,4,0,39,0,0,3,2,1,16,0,0,0,0,0,8,0,0,4,4,20.77,1.03,0,10,0,0,0.77,0.51,0.26,4.1,0,0,0,0,0,2.05,0,0,1.03,1.03
國立,實用技能學程,動力機械群,88,4,0,7,1,0,1,5,3,4,0,1,0,11,2,6,0,0,0,1,52.27,4.55,0,7.95,1.14,0,1.14,5.68,3.41,4.55,0,1.14,0,12.5,2.27,6.82,0,0,0,1.14
國立,實用技能學程,電機與電子群,375,13,0,36,6,0,3,5,2,8,0,0,0,3,2,7,0,0,5,8,26.13,3.47,0,9.6,1.6,0,0.8,1.33,0.53,2.13,0,0,0,0.8,0.53,1.87,0,0,1.33,2.13
國立,實用技能學程,土木與建築群,123,0,0,5,1,0,7,4,0,5,0,0,0,0,0,3,0,0,0,2,21.95,0,0,4.07,0.81,0,5.69,3.25,0,4.07,0,0,0,0,0,2.44,0,0,0,1.63
國立,實用技能學程,商業與管理群,425,2,0,9,0,0,8,32,4,26,4,0,0,4,9,4,1,3,5,23,31.53,0.47,0,2.12,0,0,1.88,7.53,0.94,6.12,0.94,0,0,0.94,2.12,0.94,0.24,0.71,1.18,5.41
國立,實用技能學程,設計群,132,0,0,1,0,0,0,1,0,7,1,0,0,1,0,1,0,0,8,5,18.94,0,0,0.76,0,0,0,0.76,0,5.3,0.76,0,0,0.76,0,0.76,0,0,6.06,3.79
國立,實用技能學程,農業群,143,10,0,1,0,1,4,3,2,8,0,0,0,1,0,10,0,0,2,2,30.77,6.99,0,0.7,0,0.7,2.8,2.1,1.4,5.59,0,0,0,0.7,0,6.99,0,0,1.4,1.4
國立,實用技能學程,食品群,193,2,0,10,2,0,0,3,0,37,0,0,0,1,1,9,0,0,8,3,39.38,1.04,0,5.18,1.04,0,0,1.55,0,19.17,0,0,0,0.52,0.52,4.66,0,0,4.15,1.55
國立,實用技能學程,餐旅群,370,1,0,4,0,0,2,4,0,74,0,0,0,0,3,11,1,1,6,6,30.54,0.27,0,1.08,0,0,0.54,1.08,0,20,0,0,0,0,0.81,2.97,0.27,0.27,1.62,1.62
國立,實用技能學程,水產群,40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,12.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.5,5
國立,實用技能學程,海事群,56,0,0,0,0,0,0,2,1,1,0,0,0,3,0,4,0,0,1,0,21.43,0,0,0,0,0,0,3.57,1.79,1.79,0,0,0,5.36,0,7.14,0,0,1.79,0
國立,實用技能學程,美容造型群,162,1,0,4,0,0,0,0,0,14,0,0,0,0,6,1,0,1,28,13,41.98,0.62,0,2.47,0,0,0,0,0,8.64,0,0,0,0,3.7,0.62,0,0.62,17.28,8.02
國立,進修部,普通科,108,1,0,6,0,2,2,6,2,6,0,0,0,0,6,0,0,0,5,1,34.26,0.93,0,5.56,0,1.85,1.85,5.56,1.85,5.56,0,0,0,0,5.56,0,0,0,4.63,0.93
國立,進修部,機械群,422,2,0,128,0,3,9,7,4,16,1,0,0,2,9,2,0,0,6,14,48.1,0.47,0,30.33,0,0.71,2.13,1.66,0.95,3.79,0.24,0,0,0.47,2.13,0.47,0,0,1.42,3.32
國立,進修部,動力機械群,146,0,0,12,0,0,2,7,0,5,0,0,0,22,3,0,0,1,2,8,42.47,0,0,8.22,0,0,1.37,4.79,0,3.42,0,0,0,15.07,2.05,0,0,0.68,1.37,5.48
國立,進修部,電機與電子群,385,4,2,54,11,0,16,6,5,16,1,1,1,7,4,2,1,3,13,29,45.71,1.04,0.52,14.03,2.86,0,4.16,1.56,1.3,4.16,0.26,0.26,0.26,1.82,1.04,0.52,0.26,0.78,3.38,7.53
國立,進修部,化工群,25,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,3,40,4,0,0,0,0,0,0,8,0,0,0,0,8,0,4,0,0,4,12
國立,進修部,土木與建築群,24,0,0,0,1,1,3,1,0,7,0,0,0,0,0,0,0,0,0,6,79.17,0,0,0,4.17,4.17,12.5,4.17,0,29.17,0,0,0,0,0,0,0,0,0,25
國立,進修部,商業與管理群,880,19,1,75,8,1,19,73,17,139,2,7,4,10,7,16,3,8,32,30,53.52,2.16,0.11,8.52,0.91,0.11,2.16,8.3,1.93,15.8,0.23,0.8,0.45,1.14,0.8,1.82,0.34,0.91,3.64,3.41
國立,進修部,外語群,12,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33.33,0,0,8.33,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
國立,進修部,設計群,189,0,0,45,0,0,9,2,0,9,0,0,0,2,7,0,0,0,1,21,50.79,0,0,23.81,0,0,4.76,1.06,0,4.76,0,0,0,1.06,3.7,0,0,0,0.53,11.11
國立,進修部,農業群,51,2,0,2,0,1,1,1,1,7,1,0,0,0,1,1,0,0,2,3,45.1,3.92,0,3.92,0,1.96,1.96,1.96,1.96,13.73,1.96,0,0,0,1.96,1.96,0,0,3.92,5.88
國立,進修部,食品群,189,11,0,4,1,0,4,24,4,26,1,1,1,2,0,10,0,1,11,7,57.14,5.82,0,2.12,0.53,0,2.12,12.7,2.12,13.76,0.53,0.53,0.53,1.06,0,5.29,0,0.53,5.82,3.7
國立,進修部,家政群,187,13,2,13,1,0,1,14,2,15,2,1,0,9,6,1,2,1,19,4,56.68,6.95,1.07,6.95,0.53,0,0.53,7.49,1.07,8.02,1.07,0.53,0,4.81,3.21,0.53,1.07,0.53,10.16,2.14
國立,進修部,餐旅群,191,2,0,6,0,0,0,15,11,51,2,3,0,7,8,0,0,1,3,18,66.49,1.05,0,3.14,0,0,0,7.85,5.76,26.7,1.05,1.57,0,3.66,4.19,0,0,0.52,1.57,9.42
縣市立,普通科,普通科,47494,24,0,22,6,0,19,7,3,78,5,5,0,5,13,179,3,2,48,32,0.95,0.05,0,0.05,0.01,0,0.04,0.01,0.01,0.16,0.01,0.01,0,0.01,0.03,0.38,0.01,0,0.1,0.07
縣市立,專業群科,機械群,2429,1,0,107,12,0,4,7,2,7,0,0,0,17,13,3,0,0,8,4,7.62,0.04,0,4.41,0.49,0,0.16,0.29,0.08,0.29,0,0,0,0.7,0.54,0.12,0,0,0.33,0.16
縣市立,專業群科,動力機械群,834,0,0,5,1,0,0,2,1,5,0,0,0,45,0,1,0,0,2,3,7.79,0,0,0.6,0.12,0,0,0.24,0.12,0.6,0,0,0,5.4,0,0.12,0,0,0.24,0.36
縣市立,專業群科,電機與電子群,3620,2,0,51,6,0,0,3,4,11,2,1,0,19,6,8,0,1,0,8,3.37,0.06,0,1.41,0.17,0,0,0.08,0.11,0.3,0.06,0.03,0,0.52,0.17,0.22,0,0.03,0,0.22
縣市立,專業群科,化工群,553,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,1.99,0,0,0.54,0,0,0,0.18,0,0,0,0,0,0.36,0,0,0,0,0.9,0
縣市立,專業群科,土木與建築群,629,0,0,2,1,0,4,2,0,8,0,0,0,1,4,10,0,0,0,0,5.09,0,0,0.32,0.16,0,0.64,0.32,0,1.27,0,0,0,0.16,0.64,1.59,0,0,0,0
縣市立,專業群科,商業與管理群,3468,0,0,5,0,0,1,5,0,21,0,1,0,0,2,5,0,0,3,4,1.36,0,0,0.14,0,0,0.03,0.14,0,0.61,0,0.03,0,0,0.06,0.14,0,0,0.09,0.12
縣市立,專業群科,外語群,637,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0.78,0,0,0.16,0,0,0,0,0,0.31,0,0,0,0,0,0,0.16,0.16,0,0
縣市立,專業群科,設計群,1276,0,0,1,0,0,0,2,1,5,3,2,0,0,1,7,0,0,1,4,2.12,0,0,0.08,0,0,0,0.16,0.08,0.39,0.24,0.16,0,0,0.08,0.55,0,0,0.08,0.31
縣市立,專業群科,農業群,272,2,0,1,1,0,0,0,0,5,0,1,0,0,0,0,0,1,1,1,4.78,0.74,0,0.37,0.37,0,0,0,0,1.84,0,0.37,0,0,0,0,0,0.37,0.37,0.37
縣市立,專業群科,食品群,139,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2.88,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0.72
縣市立,專業群科,家政群,376,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,3,0,0,2,2.66,0,0,0,0,0,0,0,0.27,0.27,0,0,0,0.27,0,0.53,0.8,0,0,0.53
縣市立,專業群科,餐旅群,260,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,3.85,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0.38,0.38
縣市立,專業群科,藝術群,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,專業群科,綜合,448,3,0,31,4,1,2,35,6,65,0,0,0,12,38,0,0,1,33,15,54.91,0.67,0,6.92,0.89,0.22,0.45,7.81,1.34,14.51,0,0,0,2.68,8.48,0,0,0.22,7.37,3.35
縣市立,綜合高中,學術群,2802,0,0,3,0,0,0,4,0,15,1,0,0,0,1,5,0,0,2,5,1.28,0,0,0.11,0,0,0,0.14,0,0.54,0.04,0,0,0,0.04,0.18,0,0,0.07,0.18
縣市立,綜合高中,機械群,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,141,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,化工群,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0
縣市立,綜合高中,土木與建築群,85,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3.53,0,0,0,0,0,0,0,1.18,1.18,0,0,0,0,0,1.18,0,0,0,0
縣市立,綜合高中,商業與管理群,408,0,0,1,0,0,0,2,0,8,0,0,0,1,0,2,0,0,0,2,3.92,0,0,0.25,0,0,0,0.49,0,1.96,0,0,0,0.25,0,0.49,0,0,0,0.49
縣市立,綜合高中,外語群,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,1.61
縣市立,綜合高中,設計群,201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,1,3.98,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0,1.49,0.5
縣市立,綜合高中,農業群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0
縣市立,綜合高中,餐旅群,106,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,1,2,16.04,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,2.83,0,0,0.94,1.89
縣市立,綜合高中,藝術群,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0
縣市立,綜合高中,綜合,13,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,61.54,0,7.69,7.69,0,0,0,7.69,0,15.38,0,0,0,0,0,0,0,0,0,23.08
縣市立,實用技能學程,機械群,127,0,0,46,0,0,0,4,1,2,0,0,0,1,2,3,0,0,6,3,53.54,0,0,36.22,0,0,0,3.15,0.79,1.57,0,0,0,0.79,1.57,2.36,0,0,4.72,2.36
縣市立,實用技能學程,動力機械群,60,0,0,1,0,0,0,5,0,0,0,0,0,7,0,0,0,0,4,0,28.33,0,0,1.67,0,0,0,8.33,0,0,0,0,0,11.67,0,0,0,0,6.67,0
縣市立,實用技能學程,電機與電子群,121,2,0,36,0,0,1,7,0,4,2,0,0,9,2,3,0,0,8,0,61.16,1.65,0,29.75,0,0,0.83,5.79,0,3.31,1.65,0,0,7.44,1.65,2.48,0,0,6.61,0
縣市立,實用技能學程,土木與建築群,23,0,0,1,0,0,7,1,0,1,0,0,0,0,0,1,0,0,4,0,65.22,0,0,4.35,0,0,30.43,4.35,0,4.35,0,0,0,0,0,4.35,0,0,17.39,0
縣市立,實用技能學程,商業與管理群,91,0,0,4,0,0,0,8,0,9,1,0,0,2,0,0,0,2,0,0,28.57,0,0,4.4,0,0,0,8.79,0,9.89,1.1,0,0,2.2,0,0,0,2.2,0,0
縣市立,實用技能學程,設計群,50,0,0,3,0,0,1,3,0,7,0,0,0,5,3,3,0,1,1,1,56,0,0,6,0,0,2,6,0,14,0,0,0,10,6,6,0,2,2,2
縣市立,實用技能學程,食品群,25,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,36,0,0,0,0,0,0,4,0,24,0,0,0,0,0,4,0,0,0,4
縣市立,實用技能學程,餐旅群,89,0,0,0,0,0,0,3,0,11,0,0,0,0,0,1,0,0,2,1,20.22,0,0,0,0,0,0,3.37,0,12.36,0,0,0,0,0,1.12,0,0,2.25,1.12
縣市立,實用技能學程,美容造型群,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
縣市立,進修部,普通科,302,1,0,31,0,0,1,16,4,14,1,3,1,3,6,3,2,7,22,33,49.01,0.33,0,10.26,0,0,0.33,5.3,1.32,4.64,0.33,0.99,0.33,0.99,1.99,0.99,0.66,2.32,7.28,10.93
縣市立,進修部,機械群,354,1,0,46,0,1,5,11,3,7,0,1,0,12,2,1,0,0,14,8,31.64,0.28,0,12.99,0,0.28,1.41,3.11,0.85,1.98,0,0.28,0,3.39,0.56,0.28,0,0,3.95,2.26
縣市立,進修部,動力機械群,118,0,0,5,0,0,3,1,4,3,0,0,0,14,0,1,0,0,4,2,31.36,0,0,4.24,0,0,2.54,0.85,3.39,2.54,0,0,0,11.86,0,0.85,0,0,3.39,1.69
縣市立,進修部,電機與電子群,399,2,0,35,2,0,7,10,6,18,1,0,0,4,0,2,0,1,25,13,31.58,0.5,0,8.77,0.5,0,1.75,2.51,1.5,4.51,0.25,0,0,1,0,0.5,0,0.25,6.27,3.26
縣市立,進修部,化工群,46,0,0,3,0,0,1,3,1,3,2,0,0,7,0,0,0,0,6,0,56.52,0,0,6.52,0,0,2.17,6.52,2.17,6.52,4.35,0,0,15.22,0,0,0,0,13.04,0
縣市立,進修部,土木與建築群,64,0,0,8,0,0,6,0,0,1,0,0,0,0,3,0,0,0,5,0,35.94,0,0,12.5,0,0,9.38,0,0,1.56,0,0,0,0,4.69,0,0,0,7.81,0
縣市立,進修部,商業與管理群,487,0,0,18,1,0,2,18,1,23,3,4,1,10,3,7,2,2,5,16,23.82,0,0,3.7,0.21,0,0.41,3.7,0.21,4.72,0.62,0.82,0.21,2.05,0.62,1.44,0.41,0.41,1.03,3.29
縣市立,進修部,外語群,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88
縣市立,進修部,設計群,84,0,0,6,0,0,0,1,0,2,2,0,0,0,5,1,0,1,0,7,29.76,0,0,7.14,0,0,0,1.19,0,2.38,2.38,0,0,0,5.95,1.19,0,1.19,0,8.33
縣市立,進修部,食品群,45,0,0,7,0,0,0,0,1,3,0,0,0,4,0,0,0,1,1,3,44.44,0,0,15.56,0,0,0,0,2.22,6.67,0,0,0,8.89,0,0,0,2.22,2.22,6.67
縣市立,進修部,家政群,14,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,21.43,0,0,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,0,0
縣市立,進修部,餐旅群,32,0,0,0,0,0,1,2,0,17,0,0,0,0,0,0,0,2,1,1,75,0,0,0,0,0,3.13,6.25,0,53.13,0,0,0,0,0,0,0,6.25,3.13,3.13
私立,普通科,普通科,27751,30,1,9,2,0,6,6,5,66,3,0,0,3,27,58,4,5,21,22,0.97,0.11,0,0.03,0.01,0,0.02,0.02,0.02,0.24,0.01,0,0,0.01,0.1,0.21,0.01,0.02,0.08,0.08
私立,專業群科,機械群,1953,19,3,178,2,0,14,23,9,36,2,0,0,17,8,67,1,1,4,11,20.23,0.97,0.15,9.11,0.1,0,0.72,1.18,0.46,1.84,0.1,0,0,0.87,0.41,3.43,0.05,0.05,0.2,0.56
私立,專業群科,動力機械群,5006,57,4,300,11,1,62,65,111,151,2,0,1,334,68,202,1,5,84,140,31.94,1.14,0.08,5.99,0.22,0.02,1.24,1.3,2.22,3.02,0.04,0,0.02,6.67,1.36,4.04,0.02,0.1,1.68,2.8
