設立別,學程別,群科別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
縣市立,職業科,設計群,1175,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,4,2,0.85,0,0,0,0,0,0.09,0,0,0.17,0,0,0,0,0,0,0,0.09,0.34,0.17
縣市立,職業科,農業群,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,食品群,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,家政群,142,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0
縣市立,職業科,餐旅群,238,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1.68,0,0,0.42,0,0,0,0,0,0.84,0,0,0,0.42,0,0,0,0,0,0
縣市立,職業科,藝術群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,綜合,265,1,0,18,0,0,0,11,9,44,0,1,0,2,15,0,0,1,1,70,65.28,0.38,0,6.79,0,0,0,4.15,3.4,16.6,0,0.38,0,0.75,5.66,0,0,0.38,0.38,26.42
縣市立,綜合高中,,2409,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,7,0.5396430054,0,0,0,0,0,0,0,0,0.1660440017,0,0,0,0,0,0.0830220008,0,0,0,0.2905770029
縣市立,綜合高中,機械群,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38
縣市立,綜合高中,化工群,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.44,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,1.22,0,0,0,0
縣市立,綜合高中,土木與建築群,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
縣市立,綜合高中,商業與管理群,544,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,2.39,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.29
縣市立,綜合高中,外語群,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,設計群,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,農業群,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,餐旅群,102,0,0,1,0,0,4,1,0,3,0,0,0,0,0,7,0,0,0,6,21.57,0,0,0.98,0,0,3.92,0.98,0,2.94,0,0,0,0,0,6.86,0,0,0,5.88
縣市立,實用技能學程,機械群,46,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,21.74,0,0,8.7,0,0,0,0,0,10.87,0,0,0,2.17,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,27,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48.15,0,0,37.04,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,81,0,0,2,0,0,15,4,1,7,1,1,0,1,2,0,0,0,0,2,44.44,0,0,2.47,0,0,18.52,4.94,1.23,8.64,1.23,1.23,0,1.23,2.47,0,0,0,0,2.47
縣市立,實用技能學程,土木與建築群,37,0,0,0,0,0,3,1,0,5,2,0,0,1,0,0,0,0,0,3,40.54,0,0,0,0,0,8.11,2.7,0,13.51,5.41,0,0,2.7,0,0,0,0,0,8.11
縣市立,實用技能學程,商業與管理群,122,0,0,5,4,0,1,1,1,9,0,0,0,0,3,4,0,1,0,4,27.05,0,0,4.1,3.28,0,0.82,0.82,0.82,7.38,0,0,0,0,2.46,3.28,0,0.82,0,3.28
