設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立, 實用技能學程,海事群,12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,50,8.33,0,8.33,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,0,0,8.33
國立, 實用技能學程,美容造型群,133,0,0,1,0,0,0,1,0,5,0,0,0,0,2,1,0,1,17,1,21.8,0,0,0.75,0,0,0,0.75,0,3.76,0,0,0,0,1.5,0.75,0,0.75,12.78,0.75
國立, 進修部,  普通科,87,1,0,1,0,0,3,3,0,7,0,0,0,0,0,9,0,3,0,3,34.48,1.15,0,1.15,0,0,3.45,3.45,0,8.05,0,0,0,0,0,10.34,0,3.45,0,3.45
國立, 進修部,機械群,218,2,0,56,0,1,5,3,1,20,0,0,0,6,7,4,1,0,1,7,52.29,0.92,0,25.69,0,0.46,2.29,1.38,0.46,9.17,0,0,0,2.75,3.21,1.83,0.46,0,0.46,3.21
國立, 進修部,動力機械群,73,5,0,8,1,1,5,1,0,5,1,0,0,5,2,4,0,0,0,7,61.64,6.85,0,10.96,1.37,1.37,6.85,1.37,0,6.85,1.37,0,0,6.85,2.74,5.48,0,0,0,9.59
國立, 進修部,電機與電子群,273,1,0,35,11,1,12,14,3,8,1,0,0,12,9,2,0,4,1,18,48.35,0.37,0,12.82,4.03,0.37,4.4,5.13,1.1,2.93,0.37,0,0,4.4,3.3,0.73,0,1.47,0.37,6.59
國立, 進修部,化工群,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10
國立, 進修部,土木與建築群,17,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,29.41,0,0,0,0,0,11.76,0,0,0,0,0,0,5.88,5.88,5.88,0,0,0,0
國立, 進修部,商業與管理群,629,15,0,50,2,1,15,48,14,79,0,7,2,11,12,8,2,19,32,40,56.76,2.38,0,7.95,0.32,0.16,2.38,7.63,2.23,12.56,0,1.11,0.32,1.75,1.91,1.27,0.32,3.02,5.09,6.36
國立, 進修部,設計群,93,5,0,11,1,0,2,4,0,8,0,0,1,0,2,2,0,0,4,9,52.69,5.38,0,11.83,1.08,0,2.15,4.3,0,8.6,0,0,1.08,0,2.15,2.15,0,0,4.3,9.68
國立, 進修部,農業群,38,0,0,1,0,0,1,1,0,2,0,0,0,4,1,0,0,0,3,0,34.21,0,0,2.63,0,0,2.63,2.63,0,5.26,0,0,0,10.53,2.63,0,0,0,7.89,0
國立, 進修部,食品群,120,8,0,10,0,0,3,10,2,7,0,0,1,0,3,9,1,1,0,7,51.67,6.67,0,8.33,0,0,2.5,8.33,1.67,5.83,0,0,0.83,0,2.5,7.5,0.83,0.83,0,5.83
國立, 進修部,家政群,119,7,1,6,0,0,3,6,3,23,0,0,0,1,3,3,0,7,6,8,64.71,5.88,0.84,5.04,0,0,2.52,5.04,2.52,19.33,0,0,0,0.84,2.52,2.52,0,5.88,5.04,6.72
國立, 進修部,餐旅群,125,1,0,9,0,1,2,4,0,28,0,1,0,5,7,2,0,2,0,5,53.6,0.8,0,7.2,0,0.8,1.6,3.2,0,22.4,0,0.8,0,4,5.6,1.6,0,1.6,0,4
縣市立, 普通科, 普通科,45068,6,0,26,4,1,18,12,9,80,0,7,2,2,20,130,0,6,38,43,0.9,0.01,0,0.06,0.01,0,0.04,0.03,0.02,0.18,0,0.02,0,0,0.04,0.29,0,0.01,0.08,0.1
縣市立, 專業群科,機械群,2146,0,0,45,13,2,2,4,4,6,0,0,0,7,12,16,0,2,0,12,5.82,0,0,2.1,0.61,0.09,0.09,0.19,0.19,0.28,0,0,0,0.33,0.56,0.75,0,0.09,0,0.56
縣市立, 專業群科,動力機械群,741,1,0,16,0,0,1,3,2,0,1,1,0,6,0,1,0,0,0,0,4.32,0.13,0,2.16,0,0,0.13,0.4,0.27,0,0.13,0.13,0,0.81,0,0.13,0,0,0,0
縣市立, 專業群科,電機與電子群,3390,0,0,29,7,0,0,7,3,7,0,0,0,5,7,7,0,0,0,2,2.18,0,0,0.86,0.21,0,0,0.21,0.09,0.21,0,0,0,0.15,0.21,0.21,0,0,0,0.06
縣市立, 專業群科,化工群,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0.62
縣市立, 專業群科,土木與建築群,548,1,0,1,0,0,9,1,0,1,0,0,0,1,1,3,0,0,0,0,3.28,0.18,0,0.18,0,0,1.64,0.18,0,0.18,0,0,0,0.18,0.18,0.55,0,0,0,0
縣市立, 專業群科,商業與管理群,3409,2,0,2,0,0,0,6,1,14,0,3,5,0,0,11,0,1,1,2,1.41,0.06,0,0.06,0,0,0,0.18,0.03,0.41,0,0.09,0.15,0,0,0.32,0,0.03,0.03,0.06
縣市立, 專業群科,外語群,571,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0.18,0,0,0,0,0
縣市立, 專業群科,設計群,1229,0,0,1,0,0,0,0,0,11,0,0,0,0,2,0,0,1,6,3,1.95,0,0,0.08,0,0,0,0,0,0.9,0,0,0,0,0.16,0,0,0.08,0.49,0.24
縣市立, 專業群科,農業群,290,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,10,6.21,0,0,0.69,0,0,0.34,0,0,0.34,0,0,0,0,0,0.69,0.34,0,0.34,3.45
縣市立, 專業群科,食品群,127,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0
縣市立, 專業群科,家政群,412,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1.46,0,0,0,0,0,0,0.49,0,0.24,0,0,0,0,0,0.73,0,0,0,0
縣市立, 專業群科,餐旅群,240,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0.83,0.42,0,0,0,0
縣市立, 專業群科,藝術群,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 專業群科,綜合,472,2,0,19,1,2,2,26,5,56,2,0,0,8,68,1,0,10,2,44,52.54,0.42,0,4.03,0.21,0.42,0.42,5.51,1.06,11.86,0.42,0,0,1.69,14.41,0.21,0,2.12,0.42,9.32
縣市立, 綜合高中,  學術學程,1868,0,0,0,0,0,0,0,0,7,0,0,0,2,2,8,0,0,3,3,1.34,0,0,0,0,0,0,0,0,0.37,0,0,0,0.11,0.11,0.43,0,0,0.16,0.16
縣市立, 綜合高中,機械群,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 綜合高中,電機與電子群,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 綜合高中,化工群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 綜合高中,土木與建築群,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立, 綜合高中,商業群,124,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,4.84,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,1.61,0,0,0.81,0
縣市立, 綜合高中,外語群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
