設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
縣市立,實用技能學程,土木與建築群,23,0,0,0,6,1,0,0,1,0,0,0,0,0,34.78,0,0,0,26.09,4.35,0,0,4.35,0,0,0,0,0
縣市立,實用技能學程,商業與管理群,78,5,5,36,5,0,4,0,0,0,0,0,0,0,70.51,6.41,6.41,46.15,6.41,0,5.13,0,0,0,0,0,0,0
縣市立,實用技能學程,設計群,30,0,0,6,2,0,0,0,0,0,0,0,0,0,26.67,0,0,20,6.67,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,食品群,33,0,0,6,13,1,1,0,0,0,0,0,0,0,63.64,0,0,18.18,39.39,3.03,3.03,0,0,0,0,0,0,0
縣市立,實用技能學程,餐旅群,84,1,1,29,17,3,0,0,0,0,0,0,0,0,60.71,1.19,1.19,34.52,20.24,3.57,0,0,0,0,0,0,0,0
縣市立,實用技能學程,美容造型群,19,3,0,13,0,0,0,0,0,0,0,0,0,0,84.21,15.79,0,68.42,0,0,0,0,0,0,0,0,0,0
縣市立,進修部(學校),普通科,341,2,14,1,35,0,0,1,0,0,0,0,0,0,15.54,0.59,4.11,0.29,10.26,0,0,0.29,0,0,0,0,0,0
縣市立,進修部(學校),機械群,332,16,9,38,129,0,1,0,3,0,0,0,0,0,59.04,4.82,2.71,11.45,38.86,0,0.3,0,0.9,0,0,0,0,0
縣市立,進修部(學校),動力機械群,138,2,2,33,48,0,0,0,0,0,0,1,0,0,62.32,1.45,1.45,23.91,34.78,0,0,0,0,0,0,0.72,0,0
縣市立,進修部(學校),電機與電子群,370,33,8,76,72,0,3,0,8,0,0,1,0,0,54.32,8.92,2.16,20.54,19.46,0,0.81,0,2.16,0,0,0.27,0,0
縣市立,進修部(學校),化工群,39,0,2,2,6,0,0,0,0,0,0,1,0,0,28.21,0,5.13,5.13,15.38,0,0,0,0,0,0,2.56,0,0
縣市立,進修部(學校),土木與建築群,74,2,3,20,8,0,0,0,0,0,0,0,0,0,44.59,2.7,4.05,27.03,10.81,0,0,0,0,0,0,0,0,0
縣市立,進修部(學校),商業與管理群,511,35,74,124,91,4,6,0,2,0,1,0,0,0,65.95,6.85,14.48,24.27,17.81,0.78,1.17,0,0.39,0,0.2,0,0,0
縣市立,進修部(學校),外語群,56,5,5,26,10,0,0,0,1,0,0,0,0,0,83.93,8.93,8.93,46.43,17.86,0,0,0,1.79,0,0,0,0,0
縣市立,進修部(學校),設計群,98,1,3,36,13,0,0,0,1,0,0,0,0,0,55.1,1.02,3.06,36.73,13.27,0,0,0,1.02,0,0,0,0,0
縣市立,進修部(學校),食品群,19,0,0,1,4,0,0,0,0,0,0,0,0,0,26.32,0,0,5.26,21.05,0,0,0,0,0,0,0,0,0
縣市立,進修部(學校),餐旅群,28,0,0,13,3,0,0,0,0,0,0,0,0,0,57.14,0,0,46.43,10.71,0,0,0,0,0,0,0,0,0
私立,普通科,普通科,24465,6568,113,15341,373,4,0,14,1,24,163,287,699,6,96.44,26.85,0.46,62.71,1.52,0.02,0,0.06,0,0.1,0.67,1.17,2.86,0.02
私立,專業群(職業)科,機械群,1784,165,72,818,190,5,2,30,4,0,0,22,1,1,73.43,9.25,4.04,45.85,10.65,0.28,0.11,1.68,0.22,0,0,1.23,0.06,0.06
私立,專業群(職業)科,動力機械群,4179,114,43,1279,559,24,5,3,40,0,2,67,2,0,51.16,2.73,1.03,30.61,13.38,0.57,0.12,0.07,0.96,0,0.05,1.6,0.05,0
私立,專業群(職業)科,電機與電子群,7977,915,114,4300,575,24,43,25,24,1,5,106,8,11,77.11,11.47,1.43,53.9,7.21,0.3,0.54,0.31,0.3,0.01,0.06,1.33,0.1,0.14
私立,專業群(職業)科,土木與建築群,189,24,12,102,17,1,0,0,0,0,1,3,0,0,84.66,12.7,6.35,53.97,8.99,0.53,0,0,0,0,0.53,1.59,0,0
私立,專業群(職業)科,商業與管理群,7729,906,203,4885,487,13,27,7,13,1,1,42,12,6,85.43,11.72,2.63,63.2,6.3,0.17,0.35,0.09,0.17,0.01,0.01,0.54,0.16,0.08
私立,專業群(職業)科,外語群,4880,800,134,3155,274,8,4,60,8,0,2,34,72,1,93.28,16.39,2.75,64.65,5.61,0.16,0.08,1.23,0.16,0,0.04,0.7,1.48,0.02
