設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 綜合高中,綜合,91,0,1,0,0,0,0,0,0.00,1.10,0.00,0.00,0.00,0.00,0.00
國立, 實用技能學程,機械群,273,1,8,6,2,0,0,2,0.37,2.93,2.20,0.73,0.00,0.00,0.73
國立, 實用技能學程,動力機械群,50,0,1,5,0,1,0,0,0.00,2.00,10.00,0.00,2.00,0.00,0.00
國立, 實用技能學程,電機與電子群,287,0,12,8,2,0,0,1,0.00,4.18,2.79,0.70,0.00,0.00,0.35
國立, 實用技能學程,土木與建築群,109,0,4,3,0,0,0,0,0.00,3.67,2.75,0.00,0.00,0.00,0.00
國立, 實用技能學程,商業群,262,3,6,7,1,1,0,3,1.15,2.29,2.67,0.38,0.38,0.00,1.15
國立, 實用技能學程,設計群,119,0,4,4,0,0,0,0,0.00,3.36,3.36,0.00,0.00,0.00,0.00
國立, 實用技能學程,農業群,115,1,2,5,0,0,0,0,0.87,1.74,4.35,0.00,0.00,0.00,0.00
國立, 實用技能學程,食品群,191,0,2,12,0,1,0,0,0.00,1.05,6.28,0.00,0.52,0.00,0.00
國立, 實用技能學程,餐旅群,333,1,4,10,1,2,0,1,0.30,1.20,3.00,0.30,0.60,0.00,0.30
國立, 實用技能學程,水產群,15,0,0,4,0,0,0,0,0.00,0.00,26.67,0.00,0.00,0.00,0.00
國立, 實用技能學程,海事群,12,0,0,2,1,0,0,0,0.00,0.00,16.67,8.33,0.00,0.00,0.00
國立, 實用技能學程,美容造型群,133,0,1,2,0,0,0,0,0.00,0.75,1.50,0.00,0.00,0.00,0.00
國立, 進修部,普通科,87,0,2,1,0,0,0,14,0.00,2.30,1.15,0.00,0.00,0.00,16.09
國立, 進修部,機械群,218,2,10,2,0,0,0,2,0.92,4.59,0.92,0.00,0.00,0.00,0.92
國立, 進修部,動力機械群,73,0,2,2,1,0,0,0,0.00,2.74,2.74,1.37,0.00,0.00,0.00
國立, 進修部,電機與電子群,273,1,26,6,2,0,0,3,0.37,9.52,2.20,0.73,0.00,0.00,1.10
國立, 進修部,化工群,10,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,10.00
國立, 進修部,土木與建築群,17,1,0,0,0,0,0,1,5.88,0.00,0.00,0.00,0.00,0.00,5.88
國立, 進修部,商業與管理群,629,3,5,17,7,6,0,19,0.48,0.79,2.70,1.11,0.95,0.00,3.02
國立, 進修部,設計群,93,0,0,4,1,0,0,2,0.00,0.00,4.30,1.08,0.00,0.00,2.15
國立, 進修部,農業群,38,1,1,0,1,1,0,0,2.63,2.63,0.00,2.63,2.63,0.00,0.00
國立, 進修部,食品群,120,1,3,4,0,4,0,3,0.83,2.50,3.33,0.00,3.33,0.00,2.50
國立, 進修部,家政群,119,0,1,1,1,2,0,0,0.00,0.84,0.84,0.84,1.68,0.00,0.00
國立, 進修部,餐旅群,125,1,2,7,0,0,0,3,0.80,1.60,5.60,0.00,0.00,0.00,2.40
縣市立, 普通科,普通科,45068,27,73,29,595,10,14,31,0.06,0.16,0.06,1.32,0.02,0.03,0.07
縣市立, 專業群科,機械群,2146,9,15,10,2,4,0,0,0.42,0.70,0.47,0.09,0.19,0.00,0.00
縣市立, 專業群科,動力機械群,741,2,7,3,5,0,0,1,0.27,0.94,0.40,0.67,0.00,0.00,0.13
縣市立, 專業群科,電機與電子群,3390,2,13,8,25,1,1,8,0.06,0.38,0.24,0.74,0.03,0.03,0.24
縣市立, 專業群科,化工群,482,0,2,1,1,0,0,0,0.00,0.41,0.21,0.21,0.00,0.00,0.00
縣市立, 專業群科,土木與建築群,548,0,2,0,1,0,0,0,0.00,0.36,0.00,0.18,0.00,0.00,0.00
縣市立, 專業群科,商業與管理群,3409,0,5,6,9,1,1,2,0.00,0.15,0.18,0.26,0.03,0.03,0.06
縣市立, 專業群科,外語群,571,0,0,2,1,1,2,1,0.00,0.00,0.35,0.18,0.18,0.35,0.18
縣市立, 專業群科,設計群,1229,0,1,1,6,0,1,1,0.00,0.08,0.08,0.49,0.00,0.08,0.08
縣市立, 專業群科,農業群,290,4,0,1,0,0,0,0,1.38,0.00,0.34,0.00,0.00,0.00,0.00
